number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_accuracy,user_attrs_co2_kg,user_attrs_training_time,state
20,0.24360724411449197,2025-10-22 22:44:52.910386,2025-10-22 22:50:31.899964,0 days 00:05:38.989578,256,0.6985878096658684,0.005785687869482197,0.0002301993184504604,70.41,0.009477072441144919,333.9535901546478,COMPLETE
21,0.24794683630410663,2025-10-22 22:50:31.904310,2025-10-22 22:56:22.397743,0 days 00:05:50.493433,256,0.3785563902933423,0.0027100745858600664,0.000320315277887489,72.81,0.009760468363041066,345.31360912323,COMPLETE
22,0.27294464842770283,2025-10-22 22:56:22.400147,2025-10-22 23:02:25.085785,0 days 00:06:02.685638,256,0.34484096169237033,0.002473186774392734,0.00018511305079857356,73.23,0.01005244648427703,357.54413318634033,COMPLETE
23,0.24967495621078228,2025-10-22 23:02:25.090066,2025-10-22 23:08:07.268945,0 days 00:05:42.178879,256,0.31186407306886227,0.004099288515670806,0.0006436446427912426,70.79,0.009575749562107824,337.00749135017395,COMPLETE
24,0.3142008828998323,2025-10-22 23:08:07.271286,2025-10-22 23:14:01.227512,0 days 00:05:53.956226,256,0.4036717654382017,0.007231915484403699,0.00033671856954455123,66.89,0.009831008828998324,348.85004591941833,COMPLETE
25,0.4639196702673215,2025-10-22 23:14:01.231811,2025-10-22 23:21:19.227341,0 days 00:07:17.995530,64,0.45411631306581507,0.00122314277359825,0.0009422049905451495,73.01,0.011940196702673215,433.03277564048767,COMPLETE
26,0.2568502461773262,2025-10-22 23:21:19.230818,2025-10-22 23:27:08.798927,0 days 00:05:49.568109,256,0.38939113528037955,0.003572770439482683,0.0001610479197842756,71.76,0.009744502461773262,344.60117268562317,COMPLETE
27,0.293139759883712,2025-10-22 23:27:08.801215,2025-10-22 23:33:18.262545,0 days 00:06:09.461330,256,0.5190031378265851,0.0006092013059390453,0.0002766517290075232,72.85,0.010216397598837119,364.33709478378296,COMPLETE
28,0.38456309051601245,2025-10-22 23:33:18.264682,2025-10-22 23:40:03.264299,0 days 00:06:44.999617,128,0.30340670284858584,0.0021363352415000787,9.199992190846433e-05,72.0,0.011045630905160125,399.89613795280457,COMPLETE
29,0.44106780824003455,2025-10-22 23:40:03.266340,2025-10-22 23:47:19.794082,0 days 00:07:16.527742,64,0.3496296323978547,0.003105530221598097,6.461117179848148e-05,74.82,0.011892678082400346,431.35344910621643,COMPLETE
