trial,accuracy,co2_kg
0,75.92,0.012649224075802507
14,75.63,0.010750175928411527
20,75.76,0.012486808397226752
24,69.7,0.00998183212533272
25,76.85,0.012961819531346353
26,62.84,0.00045284646289232464
